title,link,location,date,company,description
"Product Data Scientist, Discover
new",https://www.indeed.com/viewjob?jk=d70d9809dac59ca9,"San Francisco, CA",Today,Snapchat,"Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.
Snapchat is the camera used by millions of people every day to Snap with family, watch Stories from friends, see events from around the world, and explore expertly curated content from top publishers. In short, we are a passionate team working hard to build the best platform in the world for communication and storytelling.
We are looking for a Data Scientist to join our Product team at Snap Inc! Working from our San Francisco office, you will use data to help the team understand what is working, what to improve and what gaps we have. Partnering with Product, Design and Engineering, you will be a core member in driving our overall roadmap and long-term strategy
What you’ll do:
Use your quantitative skill sets to present data in an organized way that goes beyond the numbers and articulates how Snapchat Users interact with our products
Set product goals, design and evaluate experiments, monitor the health of our products and understand changes to our KPIs
Partner with Product, Design and Engineering to influence and inform our roadmap, strategy and product launches
Exploratory analysis that influence longer-term thinking including understanding how our products impact the broader ecosystem and user behavior trends
Knowledge, Skills, Abilities:
Excellent verbal and written communication skills, with high attention to detail
Strong statistical knowledge
Ability to initiate and drive projects to completion with minimal guidance
A team player who can collaborate with engineers, product managers, designers and other cross-functional teams
Minimum Qualifications:
Bachelor’s degree in math, statistics, computer science, or other quantitative field or equivalent years of experience
3+ years of experience in quantitative analysis & data science or a related field
Fluency in SQL or other big data querying language
Preferred Qualifications:
Master or Ph.D degree in math, statistics, computer science, or other quantitative field
Experience with causal inference techniques, experimental design and/or A/B testing
Experience with analytical packages such as SciPy or R
Experience with a programming language, such as Python
Experience in a product-focused role at a social media and/or mobile technology company
At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com .
Our Benefits : Snap Inc. is its own community, so we’ve got your back! We do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. Our benefits are built around your needs and include paid maternity & paternity leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in Snap’s long-term success!"
Junior Data Scientist,https://www.indeed.com/viewjob?jk=7ee6e4997258f140,"Boston, MA",30+ days ago,PIÑATA SCIENCES,"Pinata Scienes is looking for an up and coming Data Scientist. This data driven individual will work to support our data science team to deliver scalable solutions that provide real-word business value. In addition to building solutions, you must possess the aptitude and hunger to learn. As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients. In order to succeed in this role, you must be passionate about solving business problems using data science.
Come bust open some data with us!
MAIN REQUIREMENTS:
Some experience building and implementing predictive models
Excellent customer engagement skills
Strong organizational, communication, writing and interpersonal skills
Expereience with a variety of technical tools for the manipulation of datasets
1-2 years of real-world business experience
Up to 50% travel
DESIRED SKILLS:
Experience with machine learning techniques
Fluency with scripting (Python / R)
Experience with Hadoop and related Big Data technologies"
"Production Data Associate Scientist
new",https://www.indeed.com/viewjob?jk=fa1ea0c528b8e97e,"Sunnyvale, CA",4 days ago,Cepheid,"ESSENTIAL JOB RESPONSIBILITIES:
Ensure the functioning of the SPT program, including training and responding to help requests.
Conduct reviews of SPT events in a timely fashion.
Review current SPT charts and limits.
Devise and execute on activities to improve, expand, and promote the SPT program.
Help draft documents and manage information associated with the SPT program.
Perform data analysis in support of production and Technical Operations (i.e., Assay Support and Process Engineering).
Engage in activities to monitor the status and value of the SPT program to ensure the production of quality products"
Data Scientist,https://www.indeed.com/viewjob?jk=8f2114e8f073075d,"Houston, TX",30+ days ago,TGS,"TGS provides multi-client geoscience data to oil and gas Exploration and Production companies worldwide. In addition to extensive global geophysical and geological data libraries that include multi-client seismic data, magnetic and gravity data, digital well logs, production data and directional surveys, TGS also offers advanced processing and imaging services, interpretation products, permanent reservoir monitoring and data integration solutions.
We are looking for a talented data scientist to help build industry-leading solutions leveraging the world's most extensive subsurface data library. The candidate will also help create and design new Energy data applications to help the company's future position. This opportunity requires a self-driven individual with strong hands-on, proven experience developing best practices in machine learning and predictive analytics.
Duties and Responsibilities:
Develop advanced analytics workflows that will help geophysicists, geologists, and seismic data processing engineers make the best decision possible from various data types (seismic, well logs, satellite, etc.).
Model business problems to machine learning ones, map business data to dependent and independent features, perform proper feature engineering, iterate with different predictive models, and conduct hyperparameter optimization to yield the highest prediction accuracy to deploy the model to production.
Help build the data science and machine learning capability inside TGS by developing best practices and patterns for geophysical and geological machine learning, developing reusable technical components for demos and proofs-of-concept, and identifying and helping establish the needed technology stack and infrastructure.
Keep up-to-date with the latest technology trends and quickly learn about new frameworks/techniques to be used in project delivery.
Support the transition of proof of concept workflows to production and actively work with users and software engineering teams to achieve the objectives
Advocate machine-learning workflows both within the organization and to our clients.
Job Requirements (Education and Experience):
Masters or Ph.D. in geophysics, physics, mathematics, computer science, or relevant field.
Expert level Python programming skills.
Solid understanding and practical hands-on experience of various machine learning and computer vision techniques – hyperparameter tuning, supervised learning, semi-supervised learning.
Qualifications (Knowledge, Skills and Abilities):
Familiarity with machine learning frameworks/libraries/packages/APIs (e.g., TensorFlow, PyTorch, sci-kit-learn, pandas, etc.).
Ability to continuously and quickly learn new software and machine learning techniques.
Curiosity to learn new ideas and identify opportunities for the application of machine learning in exploration workflows.
Excellent communication skills (both verbal and written)"
"Data Scientist
new",https://www.indeed.com/viewjob?jk=770be95963f26a5e,"Burbank, CA",Today,Warner Bros. Entertainment Group,"Data Scientist
Location Burbank, California
Business: Warner Bros. Entertainment Group
Position Type: Full Time
Job ID 177544BR
Company Overview

WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.

Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.
Business Unit Overview

WB Technology combines Warner Bros.’ industry-leading technologists and disciplines to ensure global alignment with business strategy and accelerated delivery of innovative technology solutions studio- and industry-wide. From pre-production through archiving, the WBT organization will provide critical business and technology intelligence and services to all Studio business units. WBT manages the Studio’s enterprise systems and solutions, emerging platforms, information security, consumer intelligence, content mastering and delivery, and more.
Company Overview
WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.
Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.

Business Unit Overview
WB Technology combines Warner Bros.’ industry-leading technologists and disciplines to ensure global alignment with business strategy and accelerated delivery of innovative technology solutions studio- and industry-wide. From pre-production through archiving, the WBT organization will provide critical business and technology intelligence and services to all Studio business units. WBT manages the Studio’s enterprise systems and solutions, emerging platforms, information security, consumer intelligence, content mastering and delivery, and more.

The Job
WarnerMedia Entertainment Inc. seeks a Sr. Data Scientist for the Emerging & Creative Technologies team. The Data Scientist will be responsible for developing and maintaining machine learning algorithms which correlate neurological states with audio visual content for a consumer facing ML based Neurotechnology platform. This position will be responsible for the integrity and effectiveness of the ML algorithms and databases that power these platforms. This position also assists with AI/ML research and development in real-time interactive Mixed Reality applications, utilizing Computer Vision, Speech, Natural Language Processing, AI-based cognitive framework, and physic-based motion simulations.

The Daily
Hands-on design and ML development work to identify multi-channel sentic modulation across various biometric device types
Determine/refine approaches to create a machine learning model to classify biometric sentic modulation into neurological states.
Determine/refine approaches and methods to identify noise patterns and false positives across biometric device types.
Determine/refine approaches to create a machine learning model to identify characters and objects within audio video content.
Design ML model to identify objects/characters within audio visual content.
Identify & classify biometric noise types.
Document parts of the current and future processing framework.
Work closely with other groups to onboard new biometric device types. This includes collaborating with Television, Digital Networks, Theatrical, Business Intelligence, Talent, Content Ops, Biz Ops, Distribution, et al.
Participate in development/system/database operations as needed (devops, sysops, and DBA work).


The Essentials
3-5 years developing complex algorithms for ML based systems and/or biometrics
3-5 years Digital Signal Processing experience
3-5 years Computer Vision knowledge
3-5 years Biometric device and data processing knowledge
3-5 years NLP, Speech, Conversational AI, Dialogue, Robotics, AI-Infrastructure
3-5 years C/C++/C#, Python development and Bash scripting
3-5 years SQL on 1 or 2 DBMS, e.g. PostgreSQL, MySQL, Redshift, Snowflake, or other mainstream DBMS
Additional Skills – Strong Plus for 2 or more of the following
Big Data related experience, e.g. Redshift, Vertica, Presto, Spark SQL, Kafka, Kinesis, Hadoop, AWS Lambda, Glue.
Cloud experience, ideally AWS -or alternate ,e.g. Azure or Google Cloud Compute and Cognitive, Speech and Vision services.
Business platform API development experience with Google/YouTube & Facebook
Background in other development languages, e.g. Ruby, Java, JavaScript, Scala.
Experience w/ gaming, entertainment, and Internet monetization business models.
Experience with AR/VR application on mobile devices and HMDs.
Experience with CUDA or other GPGPU.
Experience with game engines (Unity and/or Unreal).
Knowledge in Machine Learning Libraries, Computer Vision frameworks (such as OpenCV), Natural Language Processing frameworks, and deep learning frameworks such as TensorFlow.
Experience developing software for consumer devices or mobile, including algorithm design and systems software development"
Vitria Data Scientist,https://www.indeed.com/viewjob?jk=a12209822929be49,"Menlo Park, CA",30+ days ago,Vitria Technology,"Description:
Welcome! We are looking for your creativity and expertise to analyze large data sets for the purpose of improving our customers operational processes and services. We prefer someone who can visit our Menlo Park, CA location for better access to our data and resources. Remote candidates are still welcome and encouraged to apply.
Detect and correlate anomalies across disparate time-series data.
Create and test analytic model(s) to be used against real-time time-series data.
Evaluate and train various models to detect and cluster anomalies.
Assign statistical significance/confidence interval to anomalies.
Recommend and test predictive models and machine-learning algorithms.

Skill Required:
Proven data science or data analysis experience.
Experience with unsupervised learning, Python, R, Spark ML library and similar technologies.
Ability to understand business objectives and collaborate on data centric solutions to common operational problems.
Experience analysis time-series data.
Background in the Telecommunications/Cable industry a plus.
BS Degree required, MS/Phd. is desirable.

Location: Menlo Park, CA or Denver, CO preferred – open to alternate locations"
"Data Scientist
new",https://www.indeed.com/viewjob?jk=c7f290be8c394611,"Boston, MA",3 days ago,Emulate,"Key Tasks:
Analyze -omics, imaging and biological data and produce appropriate graphical representations
Develop machine learning pipelines to extract information from heterogeneous data types
Integrate data from multiple sources and perform complex statistical data analyses including multivariate statistical analysis
Use data mining, machine learning and deep learning methods to reveal complex relationships and patterns in data
Develop software tools and automated scripts that will enable Emulate scientists to efficiently analyze and visualize their data
Develop image analysis pipelines to extract morphological features from microscopy images (e.g. fluorescence, bright-field etc.)
Test and validate reliable and efficient ways to perform common image processing tasks including both established (free) software or custom-build code, depending on the specific needs of the project
Develop computational tools and methods to store, process, analyze, visualize and integrate in-house and publicly available RNA-seq, NGS, proteomics and other omics data types to address key questions on biological processes, drug discovery and disease mechanisms

Desired Skills:

Bachelor's/Master's degree (preferred) in computational biology, bioinformatics, machine learning, computer science, applied mathematics or related field
2-3 years experience
Solid mathematical background and significant depth of expertise in statistics, machine learning/AI, Bayesian analysis, feature extraction and image analysis
Hands-on experience working with -omics data analysis (RNA-seq, scRNA-seq, proteomics etc.)
Experience with data extraction, cleansing and integration from biomedical databases
Expert-level knowledge of programming languages (R, Python, Matlab)
Good knowledge of Unix/Linux scripting languages (BASH and/or CSH)
Strong written and verbal communication skills
Ability to communicate complex computational methods and analysis results to colleagues from various disciplines
Willingness and ability to explore new areas

Equal Opportunities:
Emulate is an Equal Employment Opportunity Employer that is committed to diversity, equity, and inclusion. We take unbiased action to offer employment and advancement opportunities to all applicants, without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or ability status. Our methods for hiring include ensuring that all available opportunities are fairly promoted — via online globally available channels — in a manner accessible to all potential applicants.

About Emulate, Inc.
Emulate, Inc. is a privately held company that creates advanced in vitro models for understanding how diseases, medicines, chemicals, and foods affect human health. Our lab-ready Human Emulation System® includes three components: Zoë® Culture Module, Organ-Chips, and analytical software applications. The platform provides a window into the inner workings of human biology and disease—offering researchers a new technology designed to predict human response with greater precision and detail than conventional cell culture or animal-based experimental testing.

Research conducted using our Organ-Chips has been published in high-impact scientific journals, including Science. In addition, Organ-Chips have been acquired by the Museum of Modern Art (MoMA) in New York for their permanent collection and have also been awarded Product Design of the Year 2015 by London's Design Museum."
"Engineering Data Scientist
new",https://www.indeed.com/viewjob?jk=f7efe48e1c0c4bcb,"Los Angeles, CA",Today,Snapchat,"Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.
The Product team uses creativity, insights, and operational excellence to steer our product vision across Snap Inc. This team of designers, scientists, and product managers work in a highly collaborative environment to build the products and experiences that bring our community together in new and special ways.
We’re looking for a talented Forensic Data Scientist to join Snap, Inc, as part of the Metrics Governance group within the Metrics & Insights team. As a member, you will work closely with Engineering, Product, Legal, and various other cross functional partners to build confidence in key business and internal metrics. Based out of our Los Angeles, CA, headquarters, you’ll be an indispensable part of a small but highly-leveraged team.
What you’ll do:
Partner with Engineering, Product, and business partners throughout the full lifecycle of a metric, from ideation to implementation, reporting, and continued maintenance.
Create tooling and methodologies to identify anomalies in engagement data indicative of data quality issues and subsequently triage their root cause.
Communicate findings through data visualizations and reports to various stakeholders, including non-technical business partners and senior management
Collaborate with data scientists and business owners across the company to strategically and accurately craft their public facing statements
Actively contribute to and influence the roadmap for data and metric governance initiatives across the company
Assist Legal with litigation support, such as the retention and production of Snap data
Minimum qualifications:
Bachelor's in math, statistics, computer science, or other quantitative field
Fluency in SQL or other big data querying language
Experience with at least one programming language (R, Python, Java, Scala); preference for Python
Experience with database tools such as BigQuery, Hadoop, Hive, and Spark
Preferred qualifications:
3+ years of experience in quantitative analysis & data science or a related field
MA/MS/PhD degree in math, statistics, computer science, or other quantitative field
Strong practical experience and theoretical understanding of basic machine learning methods with an understanding of limits and assumptions
Experience in both developing data-driven solutions and supporting them in production
Practical experience and theoretical understanding of A/B testing and platforms
Experience and theoretical understanding with causal inference and discovery at scale
Ability to gather insights from messy data and tell a story with effective communication
Ability to explain technical concepts and results of analyses to non-technical audiences
Experience in delivering results in a cross-functional environment
Experience with data pipeline monitoring and scheduling platforms (e.g., Airflow)
Experience with general analysis frameworks and tools such as scikit-learn, pandas, tensorflow, Tableau
Ability to initiate and drive projects to completion with minimal guidance
Being comfortable in a fast paced work environment
Ability to comprehend and debug complex systems that might cross team and tool boundaries across the company
At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com.
Our Benefits : Snap Inc. is its own community, so we’ve got your back! We do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. Our benefits are built around your needs and include paid maternity & paternity leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in Snap’s long-term success!"
"Data Scientist
new",https://www.indeed.com/viewjob?jk=b8c47a7e0bd5cb1f,"Santa Clara Valley, CA",6 days ago,Apple,"Summary
Posted: Mar 10, 2021
Weekly Hours: 40
Role Number:200229367
At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.
Marcom is Apple’s Global Marketing Communications group. We oversee all of Apple’s advertising and marketing to ensure the flawless development and execution of world-class communications.
Do you love problem solving and thinking beyond an obvious solution? Do you thrive in ambiguity and teams where little direction should fuel your creativity? We are looking for a Data Scientist to lead Analytics & Optimizations on the Marcom Analytics Team. We are looking for a self-starter with web analytics and marketing science experience with a wide range of technical skills.
Key Qualifications
Strong communicator with excellent verbal and written presentation skills - able to evangelize data informed decision-making at all levels.
5+years of experience developing analytical dashboards, measuring impact of online site changes and its impact on traffic, engagement and revenue.
In-depth knowledge of digital analytics data, measurement, methodologies and industry standards.
Strong sense of design and presentations skills
Self-starter can take a project from start to finish with minimal supervision
Flexibility to deal with rapidly changing, time-constrained launch schedules.
Able to balance multiple projects and assignments.
Highly detail-oriented, organized, and patient.
Strong working knowledge of SQL, Teradata preferred
Expertise in Tableau and similar Data Visualization tools
Strong working knowledge of process automation using a scripting language
Solid understanding of fundamental statistical concepts and measurement methodologies
Experience in working across different global cultures a plus.
Description
Apple Marcom is seeking a Data Scientist to design, engineer, develop analytical dashboards and solutions that have direct and measurable impact to www.apple.com as well as Apple’s digital media and social media campaigns.
This person will be a member of the Marcom Analytics Team and be responsible for providing critical analysis/ insights to help inform and optimize digital strategy for Apple's digital communication. The person hired for this role will be responsible for creation and delivery of ad hoc analyses, user dashboards and other self-serve analytics resources for the worldwide teams.
The right candidate will need to have an understanding of digital analytics, as well as creative best practices for campaign effectiveness and content nuances by platform (online, video, social, paid search, in app, etc) in order to help drive strategy and measure success.
To be successful in this position candidate should be a self-starter, driven, accountable and passionate about data. Most importantly, be curious, ready to learn and evolve and able to develop strategic partnerships across both the Data Science and many business stakeholders across Apple.
Education & Experience
BS or equivalent Degree - Marketing, Finance, Business Analytics, or related fields. Master’s degree in Business Administration or Marketing Science is desirable.
5 plus years of relevant experience required."
Data Scientist,https://www.indeed.com/viewjob?jk=1645b22c4e727ef5,Remote,30+ days ago,Upwork,"Remote
Upwork ($UPWK) is the leading tech solution for companies looking to hire the best talent, maintain flexibility, and get more done. We’re passionate about our mission to create economic opportunities so people have better lives. Every year, more than $2 billion of work is done through Upwork by skilled professionals who want the freedom of working anytime, anywhere. Top companies connecting with extraordinary talent around the globe? Upwork is how.

Despite our success, we believe we can do better, which is why we’ve assembled a world-class team from around the world in fields ranging from computer science and electrical engineering to economics and statistics. If you’re passionate about solving hard problems at big data scale, knowing that your contribution to Upwork is enabling massive economic value and creating social value globally, then please read on.

The ideal candidate for this role will have over 1-2 years of experience building machine learning solutions to tackle business challenges. You don’t have to have a degree from one of the world’s top schools, but you’ve already done a few big things in your career and can hang with some of the brightest data scientists in the world. One of your hallmarks is your ability to reconcile business needs with what the data is suggesting to come up with new ideas and approaches. In the process, you derive much of your joy at work knowing that your inventions and your job matters.

If you and the team you’re on are successful, you will change the company and the world.

In this role, you will:
Build machine learning models that will become core components driving our marketplace
Dive deep into the data and share your insights across the business
Collaborate with product, engineering, and analytics from around the world on key initiatives
To win in this role, you need:
Deep knowledge of machine learning, information retrieval, recommender systems, natural language processing or related fields
Solid programming skills that enable you to retrieve, analyze and process data, and build machine learning models from the ground up (e.g. SQL, Python, Scala, Java).
Superior ability to analyze and interpret the results of product experiments
Employment history preferably a recognizable consumer Internet company
Strong communication skills, both written and verbal
Come change how the world works.

At Upwork, you’ll shape talent solutions for how the world works today. We’re a remote-first organization supported by offices in Santa Clara and Chicago, working together to create exciting remote work opportunities for a global community of professionals.

Our vibrant culture is built on shared values and our mission to create economic opportunities so that people have better lives. We build amazing teams, put our community first, and have a bias toward action. We encourage everyone to bring their whole selves to work and grow together through development opportunities, mentorship, and employee resource groups. Oh yeah, we’ve also got amazing benefits.

Check out our Life at Upwork page to learn more about the employee experience.
Upwork is proudly committed to recruiting and retaining a diverse and inclusive workforce. As an Equal Opportunity Employer, we never discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
"Data Scientist
new",https://www.indeed.com/viewjob?jk=27a4de1ae7c0858c,"Brentwood, TN",6 days ago,Rambøll,"Do you have experience in data analytics and machine learning? You could be our new Data Scientist. We invite you to bring your experience and energy into play as you will be responsible for developing our data science solutions in our global organization.
Inviting bright minds
Do you want to push the boundaries of your profession and develop your excellence in an open, collaborative and empowering culture? We work to create a sustainable future and our inspiring projects and innovative solutions aim to set the standard among our peers. You will join a global company that has been growing successfully since its founding in 1945. Together, we lead and leave a positive impact on societies, companies and people around the world.
You will join our Data Science Centre of Excellence
As our new Data Scientist, you will be part of our Water group responsible for taking AI projects from concept to operation at our facilities. Ramboll Water helps keep the world’s water safe. This position will be in one of our 80 US offices; however, our projects cover all of the world. Your key tasks and responsibilities will be:
Working in collaboration with other data scientists and software developers in developing advanced analytics solutions.
Developing, deploying, monitoring and maintaining production grade machine learning processes.
Working with business stakeholders in collecting datasets and designing solutions for business problems.
Your starting point for constant growth
From the moment you join Ramboll, we will support your personal and professional development so that you grow with the company. For this role, we believe your starting point is:
Indepth experience in programming with Python
Familiar with data science processes, including experiment design and algorithm development
Experience with structured and unstructured datasets
Ability to work in multidisciplinary team and willingness to learn new skills by doing
Can do – attitude
Experience from the following technologies is considered a benefit:
Microsoft Azure cloud platform
SQL and NoSQL databases (preferably MS SQL and CosmosDb)
Analytics platforms (Databricks, Azure ML etc.)
BI tools (Power BI, Tableau, Qlik)
Javascript (Node, Vue, React etc.)
Serverless architectures (Azure Functions etc.)
You are systematic, self-driven and well capable of managing projects in the given timeframe. You are working in an environment where others, although technical experts in their own field, are not familiar with software development. For this reason it is important you are able to communicate technological opportunities and solutions in ways understandable to both the customers and your colleagues at Ramboll.
Ramboll in US
Ramboll has over 2,000 experts working across 50 offices in the Americas applying their passion to deliver innovative solutions within Environment & Health, Water, Energy and Planning & Urban Design. Founded in Denmark, Ramboll is a people company. We invite you to contribute to a sustainable future working in an open, collaborative and empowering culture.
How to apply
If you got excited, click on the apply button to send your application. Attach your resume, cover letter and relevant documents showcasing why you are the right fit for the role, and when you are available to start. Why wait? Apply already today.
If you have any questions about the position, Bryan Arndt is happy to give you more information. E-mail barndt@ramboll.com"
Data Scientist,https://www.indeed.com/viewjob?jk=3713697231deced5,United States,22 days ago,IBM,"Introduction
Client Technical Specialists (CTP) are the technical experts and advisors to clients, IBM sales teams and/or IBM Business Partners. As a CTP you understand the client's business requirements, technical requirements and/or competitive landscape. You apply your business insights, build and maintain client relationships, incorporate hardware, software and services into client-valued solutions and ensure client readiness for the implementation of technical solutions. This is an opportunity to shape the future for both IBM and its clients. Start your journey now!

Your Role and Responsibilities
Your Role and Responsibilities:

As a Data Scientist working at the IBM Garage, you will be the Subject Matter Expert on Data and AI Statistical models and how they apply to business problems.

Led by a solution architect, you will advise on and help implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such as Natural Language, and other quantitative approaches.

You will act as a key contributor partnering with clients to understand business problems and propose solutions.

You will deliver meaningful insights and predicts emerging trends to inform business solutions that optimize client value.

You will contribute to co-creation of rapid proofs of concept and minimally viable solutions that demonstrate business value, leading to client investment in strategic solutions.


To be successful in this role you:
are familiar with Data Engineering techniques to gather, prepare, cleanse, and transform client data for analysis and AI automation, including automating data pipelines
Demonstrate strong business acumen and ability to understand business problems, formulate hypotheses and test conclusions to influence solution design
Leverage a variety of structured and unstructured data sources, analytics, AI tools, and programming languages to derive meaningful data insights (e.g., Python, R, Spark, TensorFlow, Jupyter, etc.)
Possess relevant industry and/or business domain knowledge such as Finance or Health Care which you will apply to shape solutions
Work in an Agile fashion, iterating on the design to react to client feedback and demonstrate rapid progress
Expand partnerships at all levels of the client organization to identify new opportunities for data science applications
IBMReferred_NorthAmerica

Required Technical and Professional Expertise

Technical degree in Computer Science or another field relevant to Data Science
1+ years of experience working with Machine Learning, Optimization, Neural Networks and/or Artificial Intelligence
1+ years of experience with a Data Science programming language such as Python, R, machine learning
Deep understanding of Statistics
Fluent in English
Ability to Travel 50% and conduct Client Facing/Technical Solutions



Preferred Technical and Professional Expertise

Experience with Jupyter Notebooks
Deep understanding of Statistical Machine Learning Models with Python or R
Supporting Relevant business domain knowledge such as Finance or Health Care

About Business Unit
IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

IBM intends this job to be performed entirely outside of Colorado.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Remote Data Scientist 1 Year Contract Position,https://www.indeed.com/viewjob?jk=b887b811e97262f9,"Anaheim, CA",30+ days ago,Recruiting for Good,"Must Live in the US
Prefer US Citizen, US Resident, or EAD with excellent communication skills and professional references.
Data Scientist
Provide technical and thought leadership designing, testing and implementing methodologies to forecast and monitor metric time series.
Develop algorithms to detect anomalies, assess risks/threats, and core metric fluctuations.
Conduct ad-hoc analysis to understand unexpected metric movements and communicate results to other data scientists, product managers and company leadership.
Interface with engineers, product managers and product analysts to understand data needs and help build data products.
Drive the design, building, and launching of new data models and data pipelines in production.
Minimum Qualifications
5+ years' experience doing quantitative analysis or statistical modeling
5+ years writing SQL statements.
Snowflake experience
Working knowledge of at least one modeling framework (e.g. scikit-learn, TensorFlow, SAS, R, MATLAB)
Familiarity with basic classes of ML algorithms, concepts in feature extraction and selection.
Ability to communicate your analysis with clarity and precision.
Experience implementing statistical models in production-grade code.
Big Plus have 2 years experience working remotely

$80-$100/hr"
